episode	win_rate	score
1000		2.4	10280.2
2000		12.3	15346.3
3000		19.3	17444.5
4000		33.9	21124.1
5000		44.5	23845.8
6000		54.7	27916.2
7000		55.6	28483.4
8000		60.1	30927.6
9000		63.5	32325.7
10000		64.1	33434.5
11000		68.8	35997.9
12000		70.4	36782.2
13000		76.4	39676.5
14000		75.7	40731
15000		79.6	42868.5
16000		84.7	47033.8
17000		84.5	47708.2
18000		84.2	49232.1
19000		86.2	50320.3
20000		87.1	52383
21000		90	52660.4
22000		88	55594.2
23000		87.4	55426.9
24000		91.4	56743.7
25000		88.1	56378.1
26000		92.7	59292.3
27000		90.2	58920
28000		90.5	59022.3
29000		91.3	59975.6
30000		91.6	61792.7
31000		91.8	61803.1
32000		93.3	63347.5
33000		92	61411.9
34000		92.7	60912.5
35000		92	61538.9
36000		91.6	62463.1
37000		93.8	63701.3
38000		93.4	64733.8
39000		92.9	65047
40000		92.1	63055.6
41000		93.4	65053.6
42000		94.8	67377.9
43000		93.8	66685.3
44000		92.3	66035.5
45000		92.7	67283.2
46000		92.7	65406.2
47000		93.1	67528.3
48000		94.8	68930.5
49000		94.2	70067.6
50000		93.6	67624.4
51000		93.2	68730.1
52000		93.7	70214.4
53000		93.7	70745.4
54000		93.7	70884.5
55000		92.1	68945.4
56000		94.8	71397.2
57000		94.1	71707.2
58000		92.7	70273.7
59000		95.1	72839
60000		94.9	75441.6
61000		94.4	74442
62000		94.5	76608.2
63000		95.5	77856.7
64000		94.1	76426.4
65000		93.9	80183.3
66000		94.2	80303.7
67000		94.2	82440.2
68000		94.9	81133.3
69000		95	81769.4
70000		92.9	81246.4
71000		94.2	83534.3
72000		93.5	82995.9
73000		93.4	82540.5
74000		94.7	85944.7
75000		94.7	89608.7
76000		96	89555.9
77000		93.2	88251.3
78000		94.2	87213.4
79000		95.4	89038.3
80000		95.2	89456.6
81000		94.4	90096.2
82000		93.2	86692.7
83000		95.4	91050.2
84000		94.9	91150
85000		94.9	92664.6
86000		95.7	94718.5
87000		94.5	88867.7
88000		95.6	92431.9
89000		93.5	92211.1
90000		93.7	90935.2
91000		94.6	95381.6
92000		95.1	96578.7
93000		95.1	95047.9
94000		94.2	94987.3
95000		93.7	92515.5
96000		95.7	92772.5
97000		94.5	95568
98000		95.4	94413.3
99000		95.2	98755.3
100000		95.8	95566.9
101000		96.6	104124
102000		95.6	106855
103000		97	108221
104000		95.1	104426
105000		95.7	106871
106000		96.4	107648
107000		96.5	107393
108000		97.3	109126
109000		97.4	108167
110000		96.3	108203
111000		96.2	106349
112000		95.7	109739
113000		96.5	109919
114000		95.6	108915
