episode	score
1000	10526.3
2000	16750.8
3000	19243.8
4000	22331.2
5000	25157.2
6000	28016.9
7000	29738
8000	30680.6
9000	33148.4
10000	35329.6
11000	37254.4
12000	39704.4
13000	42207.7
14000	43648
15000	45986.9
16000	47562
17000	47307.7
18000	50184.8
19000	50121.1
20000	53305.5
21000	50854.7
22000	54044.8
23000	53768.1
24000	56652.3
25000	56658.4
26000	58181.4
27000	57390.4
28000	58456.1
29000	57595.9
30000	59022.5
31000	59967.7
32000	60191.4
33000	58846.4
34000	61128.6
35000	62080.9
36000	59935.1
37000	60990.6
38000	61941.4
39000	60973.7
40000	62235.9
41000	62187.2
42000	61508.1
43000	63208.9
44000	63439.1
45000	64434.2
46000	63024.1
47000	63553.5
48000	64280.2
49000	65461.2
50000	64449.9
51000	64762
52000	64069.9
53000	65076.7
54000	65681.3
55000	65053.4
56000	66731.5
57000	65964.9
58000	67062.7
59000	66604.5
60000	67259.7
61000	67215.9
62000	66224.5
63000	66581.1
64000	66629.7
65000	67189.1
66000	67987.9
67000	68544.8
68000	68094.6
69000	67613.3
70000	67779.5
71000	68965.2
72000	68601.3
73000	69913.2
74000	69357.4
75000	68564.6
76000	67924.2
77000	70200.7
78000	70415.8
79000	71100.5
80000	71496.6
81000	74034.8
82000	77197.7
83000	76960.6
84000	77907.9
85000	80675.3
86000	79308.7
87000	79055.7
88000	81500.5
89000	83198.9
90000	80849.5
91000	83957.4
92000	84747
93000	85817.7
94000	85477.7
95000	87731.9
96000	85469.2
97000	85828.1
98000	87275.4
99000	87353.8
100000	85674.5
101000	87976.2
102000	90033.7
103000	91308
104000	87337
105000	93311.3
106000	90480.9
107000	91045.9
108000	91592.3
109000	92475
110000	92964.8
111000	94370
112000	93623.1
113000	92279.2
114000	96610.3
115000	96373.6
116000	93179.6
117000	94659.4
118000	94870.6
119000	95568.2
120000	96410.8
